"","date","presumptive","confirmed","total","quarantined","Quarfinished","quarantNow","death"
"1","2020-03-02",1,1,2,608,377,231,0
"2","2020-03-04",1,1,2,719,470,249,0
"3","2020-03-05",2,1,3,719,470,249,0
"4","2020-03-06",7,1,8,719,470,249,0
"5","2020-03-07",12,1,13,719,470,249,0
"6","2020-03-08",27,1,28,719,470,249,0
"7","2020-03-09",40,1,41,719,470,249,0
"8","2020-03-10",91,1,92,719,470,249,0
"9","2020-03-11",89,6,95,719,470,249,0
"10","2020-03-12",102,6,108,719,470,249,0
"11","2020-03-03",1,1,2,608,377,231,0
"12","2020-03-13",105,18,123,719,470,249,0
"13","2020-03-14",119,19,138,719,470,249,0
"14","2020-03-15",119,45,164,719,470,249,0
"15","2020-03-16",NA,NA,197,1083,638,445,0
"16","2020-03-17",NA,NA,218,1083,638,445,0
"17","2020-03-18",NA,NA,256,2054,886,1168,0
"18","2020-03-19",NA,NA,328,2054,886,1168,0
"19","2020-03-20",NA,NA,413,2054,886,1168,1
"20","2020-03-21",NA,NA,525,2054,886,1168,1
"21","2020-03-22",NA,NA,646,2054,886,1168,5
"22","2020-03-23",NA,NA,777,2054,886,1168,9
"23","2020-03-24",NA,NA,1159,2054,886,1168,11
"24","2020-03-25",NA,NA,1838,3802,1655,2147,15
"25","2020-03-26",NA,NA,2417,3802,1655,2147,25
"26","2020-03-27",NA,NA,3240,3802,1655,2147,35
"27","2020-03-28",NA,NA,4257,3802,1655,2147,44
