"","date","below19","Age20s","Age30s","Age40s","Age50s","Age60s","Age70s","ageUnknown","above80"
"1","2020-03-22",18,93,112,134,119,87,83,0,0
"2","2020-03-23",19,115,132,152,141,111,107,0,0
"3","2020-03-24",24,188,205,214,208,153,164,3,0
"4","2020-03-25",41,326,322,313,330,249,255,2,0
"5","2020-03-26",53,425,433,386,437,329,352,2,0
"6","2020-03-27",63,567,581,526,597,442,462,2,0
"7","2020-03-28",83,723,752,690,812,588,602,7,0
"8","2020-03-29",101,842,866,810,953,686,690,7,0
"9","2020-03-30",122,953,1031,948,1088,802,801,7,0
"10","2020-03-31",137,1081,1181,1084,1280,925,924,8,0
"11","2020-04-01",155,1236,1347,1295,1513,1093,1095,4,0
"12","2020-04-02",185,1378,1533,1465,1733,1246,1424,2,0
"13","2020-04-03",226,1571,1776,1712,2022,1439,1653,2,0
"14","2020-04-04",275,1716,1964,1941,2312,1620,1907,1,0
"15","2020-04-05",290,1773,2064,2074,2465,1735,2098,1,0
"16","2020-04-06",312,1876,2217,2245,2685,1922,1210,NA,1370
"17","2020-04-07",338,2013,2389,2408,2886,2148,1381,NA,1639
"18","2020-04-08",363,2195,2603,2649,3204,2398,1529,2,1847
"19","2020-04-09",403,2408,2882,2926,3562,2681,1782,5,2292
"20","2020-04-10",446,2637,3201,3236,3931,2950,2001,10,2562
"21","2020-04-11",500,2834,3459,3500,4279,3224,2169,12,2883
"22","2020-04-12",554,3107,3801,3848,4654,3582,2424,208,3297
"23","2020-04-13",593,3262,3993,4002,4896,3778,2580,205,3558
"24","2020-04-14",622,3393,4165,4166,5120,3979,2744,178,3796
"25","2020-04-15",675,3593,4448,4455,5420,4244,2894,216,3973
"26","2020-04-16",737,3826,4706,4754,5784,4562,3142,247,4423
"27","2020-04-17",803,4095,5040,5071,6158,4850,3342,266,4777
"28","2020-04-18",852,4314,5282,5326,6445,5090,3571,299,5193
"29","2020-04-19",899,4483,5483,5517,6687,5315,3767,292,5634
"30","2020-04-20",933,4585,5636,5683,6873,5504,3965,NA,6083
"31","2020-04-21",974,4789,5869,5901,7126,5709,4107,NA,6355
"32","2020-04-22",1024,4979,6088,6175,7408,5957,4315,NA,6675
"33","2020-04-23",1167,5312,6539,6612,7878,6361,4617,NA,7204
"34","2020-04-24",1394,6030,7357,7442,8729,7034,4933,NA,7738
"35","2020-04-25",1503,6382,7690,7767,9091,7339,5176,NA,8079
"36","2020-04-26",1578,6605,7938,7990,9310,7517,5321,NA,8365
"37","2020-04-27",1648,6807,8186,8220,9531,7709,5470,NA,8601
"38","2020-04-28",1711,7023,8449,8452,9775,7963,5682,NA,8961
"39","2020-04-29",1788,7295,8744,8732,10095,8218,5849,NA,9253
"40","2020-04-30",1904,7588,9099,9010,10426,8482,5994,NA,9418
"41","2020-05-01",2009,7879,9438,9317,10781,8729,6169,NA,9721
"42","2020-05-02",2130,8159,9727,9580,11075,8966,6337,NA,10021
"43","2020-05-03",2225,8406,9957,9849,11352,9234,6488,NA,10291
"44","2020-05-04",2286,8528,10106,9986,11472,9326,6569,NA,10533
"45","2020-05-05",2351,8712,10314,10157,11635,9488,6681,NA,10669
